region,block,row_class,child,share,tier,provenance
BG,air,other,AIR.PAX,0.9846,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
BG,air,other,AIR.FRT,0.0154,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
BG,air,fuel_liquid,AIR.PAX,0.9846,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
BG,air,fuel_liquid,AIR.FRT,0.0154,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
BG,air,Q,AIR.FRT,2.2986,observed,"ITF Y11, Mtkm; child re-denominates to it"
BG,air,Q,AIR.PAX,1467.6808,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
CY,road_pipe,other,ROAD.FRT,0.5613,1-SBS,ESTAT.SBSH49 Y11 observed shares
CY,road_pipe,other,ROAD.PAX,0.4387,1-SBS,ESTAT.SBSH49 Y11 observed shares
CY,road_pipe,other,PIPE,0.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
CY,road_pipe,fuel_liquid,ROAD.FRT,1.0,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
CY,road_pipe,fuel_liquid,ROAD.PAX,0.0,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
CY,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
CY,road_pipe,Q,ROAD.FRT,505.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
CY,road_pipe,Q,ROAD.PAX,0.0,none,no observed volume: child stays MEUR (declared)
CY,rail,other,TRN.P,0.5503,5-median,SBS Y11 median shares (RoW / no data)
CY,rail,other,TRN.F,0.4497,5-median,SBS Y11 median shares (RoW / no data)
CY,rail,fuel_liquid,TRN.P,0.5503,5-fallback,no volumes: fuel follows the 'other' shares (declared)
CY,rail,fuel_liquid,TRN.F,0.4497,5-fallback,no volumes: fuel follows the 'other' shares (declared)
CY,rail,Q,TRN.P,0.0,none,no observed volume: child stays MEUR (declared)
CY,rail,Q,TRN.F,0.0,none,no observed volume: child stays MEUR (declared)
CY,sea,other,SEA,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
CY,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
CY,sea,Q,SEA,531981.3397,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
CY,iww,other,IWW,1.0,5-median,SBS Y11 median shares (RoW / no data)
CY,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
CY,iww,Q,IWW,0.0,none,no observed volume: child stays MEUR (declared)
CY,air,other,AIR.PAX,0.9017,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
CY,air,other,AIR.FRT,0.0983,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
CY,air,fuel_liquid,AIR.PAX,0.9017,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
CY,air,fuel_liquid,AIR.FRT,0.0983,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
CY,air,Q,AIR.FRT,16.9749,observed,"ITF Y11, Mtkm; child re-denominates to it"
CY,air,Q,AIR.PAX,1556.4347,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
CZ,road_pipe,other,ROAD.FRT,0.8016,5-median,SBS Y11 median shares (RoW / no data)
CZ,road_pipe,other,ROAD.PAX,0.1984,5-median,SBS Y11 median shares (RoW / no data)
CZ,road_pipe,other,PIPE,0.0,5-median,SBS Y11 median shares (RoW / no data)
CZ,road_pipe,fuel_liquid,ROAD.FRT,0.8452,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
CZ,road_pipe,fuel_liquid,ROAD.PAX,0.1548,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
CZ,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
CZ,road_pipe,Q,ROAD.FRT,49910.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
CZ,road_pipe,Q,ROAD.PAX,14814.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
CZ,rail,other,TRN.P,0.5503,5-median,SBS Y11 median shares (RoW / no data)
CZ,rail,other,TRN.F,0.4497,5-median,SBS Y11 median shares (RoW / no data)
CZ,rail,fuel_liquid,TRN.P,0.3178,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
CZ,rail,fuel_liquid,TRN.F,0.6822,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
CZ,rail,Q,TRN.P,6669.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
CZ,rail,Q,TRN.F,14316.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
CZ,sea,other,SEA,1.0,5-median,SBS Y11 median shares (RoW / no data)
CZ,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
CZ,sea,Q,SEA,0.0,none,no observed volume: child stays MEUR (declared)
CZ,iww,other,IWW,1.0,5-median,SBS Y11 median shares (RoW / no data)
CZ,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
CZ,iww,Q,IWW,42.2633,observed,"ITF Y11, Mtkm; child re-denominates to it"
CZ,air,other,AIR.PAX,0.9796,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
CZ,air,other,AIR.FRT,0.0204,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
CZ,air,fuel_liquid,AIR.PAX,0.9796,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
CZ,air,fuel_liquid,AIR.FRT,0.0204,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
CZ,air,Q,AIR.FRT,16.721,observed,"ITF Y11, Mtkm; child re-denominates to it"
CZ,air,Q,AIR.PAX,8032.1524,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
DE,road_pipe,other,ROAD.FRT,0.6215,1-SBS,ESTAT.SBSH49 Y11 observed shares
DE,road_pipe,other,ROAD.PAX,0.3193,1-SBS,ESTAT.SBSH49 Y11 observed shares
DE,road_pipe,other,PIPE,0.0592,1-SBS,ESTAT.SBSH49 Y11 observed shares
DE,road_pipe,fuel_liquid,ROAD.FRT,0.8515,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
DE,road_pipe,fuel_liquid,ROAD.PAX,0.1485,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
DE,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
DE,road_pipe,Q,ROAD.FRT,275894.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
DE,road_pipe,Q,ROAD.PAX,77957.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
DE,rail,other,TRN.P,0.6435,1-SBS,ESTAT.SBSH49 Y11 observed shares
DE,rail,other,TRN.F,0.3565,1-SBS,ESTAT.SBSH49 Y11 observed shares
DE,rail,fuel_liquid,TRN.P,0.4408,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
DE,rail,fuel_liquid,TRN.F,0.5592,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
DE,rail,Q,TRN.P,89316.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
DE,rail,Q,TRN.F,113317.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
DE,sea,other,SEA,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
DE,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
DE,sea,Q,SEA,6820299.0775,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
DE,iww,other,IWW,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
DE,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
DE,iww,Q,IWW,55027.1576,observed,"ITF Y11, Mtkm; child re-denominates to it"
DE,air,other,AIR.PAX,0.7509,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
DE,air,other,AIR.FRT,0.2491,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
DE,air,fuel_liquid,AIR.PAX,0.7509,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
DE,air,fuel_liquid,AIR.FRT,0.2491,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
DE,air,Q,AIR.FRT,7716.7619,observed,"ITF Y11, Mtkm; child re-denominates to it"
DE,air,Q,AIR.PAX,232559.3474,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
DK,road_pipe,other,ROAD.FRT,0.6774,1-SBS,ESTAT.SBSH49 Y11 observed shares
DK,road_pipe,other,ROAD.PAX,0.3226,1-SBS,ESTAT.SBSH49 Y11 observed shares
DK,road_pipe,other,PIPE,0.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
DK,road_pipe,fuel_liquid,ROAD.FRT,0.7699,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
DK,road_pipe,fuel_liquid,ROAD.PAX,0.2301,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
DK,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
DK,road_pipe,Q,ROAD.FRT,14158.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
DK,road_pipe,Q,ROAD.PAX,6853.0,observed,"ITF Y11, Mpkm; child re-denominates to it"
DK,rail,other,TRN.P,0.5503,5-median,SBS Y11 median shares (RoW / no data)
DK,rail,other,TRN.F,0.4497,5-median,SBS Y11 median shares (RoW / no data)
DK,rail,fuel_liquid,TRN.P,0.7165,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
DK,rail,fuel_liquid,TRN.F,0.2835,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
DK,rail,Q,TRN.P,6605.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
DK,rail,Q,TRN.F,2614.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
DK,sea,other,SEA,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
DK,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
DK,sea,Q,SEA,2103753.8537,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
DK,iww,other,IWW,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
DK,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
DK,iww,Q,IWW,0.0,none,no observed volume: child stays MEUR (declared)
DK,air,other,AIR.FRT,0.11,1-SBS,ESTAT.SBSH49 Y11 observed shares
DK,air,other,AIR.PAX,0.89,1-SBS,ESTAT.SBSH49 Y11 observed shares
DK,air,fuel_liquid,AIR.FRT,0.11,5-money,no physical work observed for either child: fuel falls back to the monetary shares (declared)
DK,air,fuel_liquid,AIR.PAX,0.89,5-money,no physical work observed for either child: fuel falls back to the monetary shares (declared)
DK,air,Q,AIR.FRT,0.0,none,no observed volume: child stays MEUR (declared)
DK,air,Q,AIR.PAX,0.0,none,no observed volume: child stays MEUR (declared)
EE,road_pipe,other,ROAD.FRT,0.8016,5-median,SBS Y11 median shares (RoW / no data)
EE,road_pipe,other,ROAD.PAX,0.1984,5-median,SBS Y11 median shares (RoW / no data)
EE,road_pipe,other,PIPE,0.0,5-median,SBS Y11 median shares (RoW / no data)
EE,road_pipe,fuel_liquid,ROAD.FRT,0.8404,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
EE,road_pipe,fuel_liquid,ROAD.PAX,0.1596,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
EE,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
EE,road_pipe,Q,ROAD.FRT,5607.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
EE,road_pipe,Q,ROAD.PAX,1725.4,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
EE,rail,other,TRN.P,0.0764,1-SBS,ESTAT.SBSH49 Y11 observed shares
EE,rail,other,TRN.F,0.9236,1-SBS,ESTAT.SBSH49 Y11 observed shares
EE,rail,fuel_liquid,TRN.P,0.0373,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
EE,rail,fuel_liquid,TRN.F,0.9627,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
EE,rail,Q,TRN.P,243.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
EE,rail,Q,TRN.F,6271.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
EE,sea,other,SEA,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
EE,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
EE,sea,Q,SEA,14350.3198,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
EE,iww,other,IWW,1.0,5-median,SBS Y11 median shares (RoW / no data)
EE,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
EE,iww,Q,IWW,0.0,none,no observed volume: child stays MEUR (declared)
EE,air,other,AIR.PAX,0.796,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
EE,air,other,AIR.FRT,0.204,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
EE,air,fuel_liquid,AIR.PAX,0.796,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
EE,air,fuel_liquid,AIR.FRT,0.204,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
EE,air,Q,AIR.FRT,4.871,observed,"ITF Y11, Mtkm; child re-denominates to it"
EE,air,Q,AIR.PAX,190.013,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
ES,road_pipe,other,ROAD.FRT,0.8016,5-median,SBS Y11 median shares (RoW / no data)
ES,road_pipe,other,ROAD.PAX,0.1984,5-median,SBS Y11 median shares (RoW / no data)
ES,road_pipe,other,PIPE,0.0,5-median,SBS Y11 median shares (RoW / no data)
ES,road_pipe,fuel_liquid,ROAD.FRT,0.8507,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
ES,road_pipe,fuel_liquid,ROAD.PAX,0.1493,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
ES,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
ES,road_pipe,Q,ROAD.FRT,196087.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
ES,road_pipe,Q,ROAD.PAX,55742.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
ES,rail,other,TRN.P,0.9919,1-SBS,ESTAT.SBSH49 Y11 observed shares
ES,rail,other,TRN.F,0.0081,1-SBS,ESTAT.SBSH49 Y11 observed shares
ES,rail,fuel_liquid,TRN.P,0.705,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
ES,rail,fuel_liquid,TRN.F,0.295,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
ES,rail,Q,TRN.P,22931.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
ES,rail,Q,TRN.F,9593.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
ES,sea,other,SEA,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
ES,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
ES,sea,Q,SEA,126418.8593,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
ES,iww,other,IWW,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
ES,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
ES,iww,Q,IWW,0.0,none,no observed volume: child stays MEUR (declared)
ES,air,other,AIR.PAX,0.8698,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
ES,air,other,AIR.FRT,0.1302,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
ES,air,fuel_liquid,AIR.PAX,0.8698,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
ES,air,fuel_liquid,AIR.FRT,0.1302,4-tonne-km-equivalent,"fuel follows physical work: passengers at 100 kg (ICAO/GLEC mass allocation), freight at its tonnes"
ES,air,Q,AIR.FRT,1313.2932,observed,"ITF Y11, Mtkm; child re-denominates to it"
ES,air,Q,AIR.PAX,87704.5087,observed,"WB pax x ICAO stage length Y11, Mpkm; child re-denominates to it"
FI,road_pipe,other,ROAD.FRT,0.7599,1-SBS,ESTAT.SBSH49 Y11 observed shares
FI,road_pipe,other,ROAD.PAX,0.2401,1-SBS,ESTAT.SBSH49 Y11 observed shares
FI,road_pipe,other,PIPE,0.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
FI,road_pipe,fuel_liquid,ROAD.FRT,0.8426,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
FI,road_pipe,fuel_liquid,ROAD.PAX,0.1574,4-bottom-up,vkm x NXTR intensity (liquid fuels; PIPE=0)
FI,road_pipe,fuel_liquid,PIPE,0.0,4-bottom-up,pipelines pump with electricity/gas
FI,road_pipe,Q,ROAD.FRT,24908.0,observed,"ESTAT Y11, Mtkm; child re-denominates to it"
FI,road_pipe,Q,ROAD.PAX,7540.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
FI,rail,other,TRN.P,0.5503,5-median,SBS Y11 median shares (RoW / no data)
FI,rail,other,TRN.F,0.4497,5-median,SBS Y11 median shares (RoW / no data)
FI,rail,fuel_liquid,TRN.P,0.2924,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
FI,rail,fuel_liquid,TRN.F,0.7076,4-bottom-up,"traffic units (same per-tu intensity, leg-1 v0)"
FI,rail,Q,TRN.P,3882.0,observed,"ESTAT Y11, Mpkm; child re-denominates to it"
FI,rail,Q,TRN.F,9395.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
FI,sea,other,SEA,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
FI,sea,fuel_liquid,SEA,1.0,4-single-child,one child on the block: nothing to split
FI,sea,Q,SEA,107994.4231,observed,"IMO world transport work x UNCTAD fleet share (residence) Y11, Mtkm; child re-denominates to it"
FI,iww,other,IWW,1.0,1-SBS,ESTAT.SBSH49 Y11 observed shares
FI,iww,fuel_liquid,IWW,1.0,4-single-child,one child on the block: nothing to split
FI,iww,Q,IWW,90.0,observed,"ITF Y11, Mtkm; child re-denominates to it"
FI,air,other,AIR.PAX,0.7657,4-tonne-km-equivalent,"air split on revenue tonne-km (passengers at 100 kg, ICAO convention): the SBS class covers dedicated freighters only, our children cover the work"
